"var","Initialvar","expression"
"b10","150.66539195366480565187705602412753155175`23.39960351994978","1.7478297775942695 - 0.13641598264150395*b13 + 0.3410399566037599*b15 - 0.7758659012735537*b17 - 3.107252937945368*b20 + 0.2425173024737848*b13*b20 - 0.6062932561844621*b15*b20 + 1.3793171578196513*b17*b20 - 0.2425173024737848*b10*b23 - 0.3410399566037599*b16*b23 + 0.7758659012735537*b18*b23 - 7.76813234486342*b30 + 0.6062932561844621*b13*b30 - 1.5157331404611551*b15*b30 + 3.448292894549128*b17*b30 + 1.3793171578196513*b16*b23*b30 - 3.107252937945368*b18*b23*b30 - 0.7758659012735537*b23*b40 - 0.13641598264150395*b15*b23*b40 + 0.3410399566037599*b17*b23*b40"
"b13","5.79420459969114396063758596416750090118`23.67825143878288","-0.0481863390764604*b10 + 0.033881019663136225*b16 - 0.15415863946726982*b18 - 0.1806987715367265*b16*b20 + 0.5481196069947372*b18*b20 + 0.30831727893453964*b23 + 0.027104815730508977*b15*b23 - 0.10164305898940867*b17*b23 - 0.17768712534444775*b16*b30 + 0.7529115480696938*b18*b30 - 0.9260812041257235*b23*b30 - 0.060232923845575506*b15*b23*b30 + 0.2740598034973686*b17*b23*b30 + 0.6175756973041664*b40 - 0.060232923845575506*b13*b40 + 0.1234774938834298*b15*b40 - 0.27481271504543825*b17*b40 - 0.17768712534444775*b16*b23*b40 + 0.4442178133611194*b18*b23*b40"
"b15","5.93048477917169267817067682832279207841`29.308081115061995","0.11761448416161785 - 0.015287016625393059*b13 + 0.05885501400776328*b15 - 0.11274174761227382*b17 + 1.2520066616196914*b20 + 0.061148066501572236*b15*b20 - 0.32102734913325426*b17*b20 - 0.0038217541563482648*b16*b23 - 0.09363297683053248*b18*b23 + 0.779637847895046*b30 + 0.03668883990094334*b13*b30 - 0.061148066501572236*b15*b30 - 0.037453190732212996*b17*b30 + 0.04586104987617917*b16*b23*b30 + 0.13911185129107684*b18*b23*b30 + 0.09783690640251558*b16*b40 - 0.4891845320125779*b18*b40 + 1.4847514897413008*b23*b40 + 0.10700911637775141*b15*b23*b40 - 0.4547887446054435*b17*b23*b40"
"b16","0.0325228147689094521740530386260734128241756852205561217338`30.154435033794158","-0.2276688927378157*b16 + 0.9226581442532531*b18 - 0.19172117283184478*b16*b20 + 1.3420482098229136*b18*b20 - 0.3355120524557284*b23 - 0.09586058641592239*b15*b23 + 0.2516340393417963*b17*b23 + 0.09586058641592239*b16*b30 - 0.13420482098229136*b18*b30 + 1.3084970045773407*b23*b30 + 0.19172117283184478*b15*b23*b30 - 0.6710241049114568*b17*b23*b30 + 0.011982573301990299*b40 + 0.03834423456636896*b13*b40 - 0.2875817592477672*b15*b40 + 0.5535948865519519*b17*b40 - 0.2875817592477672*b16*b23*b40 + 2.046623519979943*b18*b23*b40"
"b17","4.8736482398344430018521415996232112531843568512393820575401`35.248187454624194","-13.730720589453412 - 0.07549537093857546*b13 + 1.3211689914250706*b15 + 0.06605844957125354*b17 - 23.78104184565127*b20 + 2.642337982850141*b17*b20 + 1.698645846117948*b16*b23 - 7.993072398121677*b18*b23 - 7.927013948550424*b30 - 1.5099074187715091*b15*b30 + 3.963506974275212*b17*b30 - 3.397291692235896*b16*b23*b30 + 18.49636587995099*b18*b23*b30 + 6.0396296750860365*b16*b40 - 25.366444635361354*b18*b40 - 31.113529748060415*b23*b40 + 1.1324305640786319*b15*b23*b40 + 1.3211689914250706*b17*b23*b40"
"b18","0.6794564538193555940697768395968182363030184283294422927198`37.55399924216671","-0.15566851707644036*b16 + 0.42596566945462316*b18 - 0.15849885375055747*b18*b20 + 0.7726819120339676*b23 - 0.01132134669646839*b15*b23 - 0.09906178359409841*b17*b23 + 0.16982020044702584*b16*b30 - 0.7924942687527873*b18*b30 - 1.7831121046937715*b23*b30 + 0.23774828062583617*b17*b23*b30 + 2.5260754816495092*b40 - 0.056606733482341944*b15*b40 - 0.29718535078229524*b17*b40 - 0.1018921202682155*b16*b23*b40 + 0.19812356718819682*b18*b23*b40"
"b20","62.2247771507010894694811072451680176607316032564534409074281`37.23667260042292","-1.9086421623883845 + 0.02057835215513083*b15 + 0.3601211627147895*b17 + 0.2880969301718316*b20 + 0.034297253591884715*b16*b23 + 0.1200403875715965*b18*b23 + 2.880969301718316*b30 - 0.4321453952577474*b17*b30 - 0.480161550286386*b18*b23*b30 + 0.21950242298806216*b16*b40 - 1.0803634881443684*b23*b40 + 0.240080775143193*b17*b23*b40"
"b23","0.929082461855401484948484148620214664768980789622912617068`37.23843552021359","-0.19740593463459483*b16 - 1.381841542442164*b18 - 0.19740593463459483*b17*b23 + 2.2109464679074624*b18*b30 + 2.1319840940536245*b23*b30 + 4.145524627326492*b40 - 1.381841542442164*b17*b40 - 1.184435607807569*b18*b23*b40"
"b30","-31.6545506420519507813742437274237002599583140333218539870148`39.996583520590775","-1.8121642719031388 - 0.776641830815631*b17 - 0.6040547573010463*b18*b23 + 6.213134646525048*b30 - 4.418229081973367*b18*b40 - 3.2618956894256503*b23*b40"
"b40","-33.5931022856779246501404199210687256025631344576156101408197`40.","(-3*b18)/(500.57732940923347 - 5*h) - (2*b23)/(500.57732940923347 - 5*h) - (3*b40)/(100.11546588184669 - h) - h/(100.11546588184669 - h)"
